Company,Date,Project,Service
Thales/Suadia,23-Feb,Airline's in-flight entertainment system.,Usability evaluation
Useful school,2022,SPACE,SERVICE
MRF Law Firm,2018,SPACE,SERVICE
Illirya,2019,Settler's Ridge Community Board,SERVICE
Texas Higher Education Cordinating Board,2022,"k-12, College, University, Workforce",Customer Research
Gates Ventures,2022,VC,Market Research
Hopelabs,2023,"Mental health, Genz, Web3",Market Research
Amazon,23-Feb,GREF,Customer Research
Eli Lilly,2021,"Health care providers, Duerma, Rhuema, Tool",Customer Research
Farmacy Foods,20202,Some placeholder content in a paragraph.,And some muted small print.
